Unnamed: 0,name,original_style,brewery,abv,ave rating,min ibu,max ibu,astringency,body,alcohol,bitter,sweet,sour,salty,fruits,hoppy,spices,malty,state,country,retired,style,milk,old,dark,wild,pale,red,imperial
1,Double Bag,Altbier,Long Trail Brewing Co.,7.2,3.9,25,50,12,57,18,33,55,16,0,24,35,12,84,VT,US,f,Altbier,0,0,0,0,0,0,0
2,Long Trail Ale,Altbier,Long Trail Brewing Co.,5.0,3.58,25,50,14,37,6,42,43,11,0,10,54,4,62,VT,US,f,Altbier,0,0,0,0,0,0,0
4,Scurry,Altbier,Off Color Brewing,5.3,3.67,25,50,21,69,10,63,120,14,0,19,36,15,218,IL,US,f,Altbier,0,0,0,0,0,0,0
5,Sleigh'R Dark Doüble Alt Ale,Altbier,Ninkasi Brewing Company,7.2,3.78,25,50,25,51,26,44,45,9,1,11,51,20,95,OR,US,f,Altbier,0,0,0,0,0,0,0
7,Okto Festival Ale,Altbier,Widmer Brothers Brewing Company,5.3,3.46,25,50,28,40,3,40,58,29,0,36,54,8,97,OR,US,f,Altbier,0,0,0,0,0,0,0
8,Southampton Altbier,Altbier,Southampton Publick House,5.0,3.6,25,50,18,49,5,37,73,22,0,21,37,4,98,NY,US,f,Altbier,0,0,0,0,0,0,0
9,Copper,Altbier,The Olde Mecklenburg Brewery,4.8,4.1,25,50,25,35,4,38,39,13,1,8,60,16,97,NC,US,f,Altbier,0,0,0,0,0,0,0
10,Organic Münster Alt,Altbier,Brauerei Pinkus Mueller,5.1,3.7,25,50,35,31,5,35,50,55,5,52,66,8,77,,DE,f,Altbier,0,0,0,0,0,0,0
12,Gerst Amber,Altbier,Yazoo Brewing Company,5.1,3.54,25,50,10,19,1,21,30,11,4,8,24,2,65,TN,US,f,Altbier,0,0,0,0,0,0,0
13,Ad Astra Ale,Altbier,Free State Brewing Co.,5.6,3.69,25,50,7,30,5,43,43,13,1,13,50,6,93,KS,US,f,Altbier,0,0,0,0,0,0,0
14,Doppel Sticky,Altbier,Lagunitas Brewing Company,7.7,4.07,25,50,24,44,27,79,73,88,2,114,92,9,51,CA,US,f,Altbier,0,0,0,0,0,0,0
15,Copperhead Ale,Altbier,Fordham Brewing Company,5.2,3.37,25,50,9,32,9,29,54,13,1,11,32,2,112,DE,US,f,Altbier,0,0,0,0,0,0,0
16,Ten Years Alt,Altbier,Victory Brewing Company - Downingtown,8.5,3.96,25,50,14,55,31,48,105,31,0,37,59,19,115,PA,US,f,Altbier,0,0,0,0,0,0,0
17,Three Blind Mice,Altbier,Mother's Brewing Company,5.5,3.57,25,50,11,58,6,47,49,5,1,3,50,5,110,MO,US,f,Altbier,0,0,0,0,0,0,0
18,Ishmael,Altbier,Rising Tide Brewing Company,4.9,3.71,25,50,17,41,1,55,43,18,1,20,80,7,103,ME,US,f,Altbier,0,0,0,0,0,0,0
19,Headwall Alt,Altbier,Tuckerman Brewing Co.,4.5,3.69,25,50,19,42,13,54,62,19,0,25,64,10,135,NH,US,f,Altbier,0,0,0,0,0,0,0
20,Alt-Eration Ale,Altbier,Hops & Grain Brewing,5.0,3.81,25,50,21,43,3,54,54,7,0,10,60,9,111,TX,US,f,Altbier,0,0,0,0,0,0,0
21,Schell'S Schmaltz'S Alt,Altbier,August Schell Brewing Company,5.1,3.75,25,50,21,72,9,48,102,25,1,50,43,13,176,MN,US,f,Altbier,0,0,0,0,0,0,0
22,Balt Altbier,Altbier,Union Craft Brewing Company,5.5,3.8,25,50,27,65,10,45,75,22,1,29,68,12,132,MD,US,f,Altbier,0,0,0,0,0,0,0
23,Frankenheim Alt,Altbier,Privatbrauerei Frankenheim,4.8,3.76,25,50,19,43,5,39,43,13,1,6,45,8,97,,DE,f,Altbier,0,0,0,0,0,0,0
24,Iron Works Alt,Altbier,Metropolitan Brewing,5.5,3.84,25,50,37,50,16,60,84,32,0,46,83,19,121,IL,US,f,Altbier,0,0,0,0,0,0,0
